T02,"Population, density and surface area",,,,,
388,Jamaica,2015,Surface area (thousand km2),11,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
388,Jamaica,2019,Population mid-year estimates (millions),2.95,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2019,Population mid-year estimates for males (millions),1.46,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2019,Population mid-year estimates for females (millions),1.48,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2019,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2019,Population aged 0 to 14 years old (percentage),23.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2019,Population aged 60+ years old (percentage),13.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2019,Population density,272.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2019,Surface area (thousand km2),11,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
388,Jamaica,2021,Population mid-year estimates (millions),2.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2021,Population mid-year estimates for males (millions),1.48,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2021,Population mid-year estimates for females (millions),1.50,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2021,Sex ratio (males per 100 females),98.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2021,Population aged 0 to 14 years old (percentage),23.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2021,Population aged 60+ years old (percentage),13.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
388,Jamaica,2021,Population density,274.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2010,Population mid-year estimates (millions),128.54,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2010,Population mid-year estimates for males (millions),62.87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2010,Population mid-year estimates for females (millions),65.67,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2010,Sex ratio (males per 100 females),95.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2010,Population aged 0 to 14 years old (percentage),13.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2010,Population aged 60+ years old (percentage),30.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2010,Population density,352.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2015,Population mid-year estimates (millions),127.99,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2015,Population mid-year estimates for males (millions),62.54,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2015,Population mid-year estimates for females (millions),65.45,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2015,Sex ratio (males per 100 females),95.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2015,Population aged 0 to 14 years old (percentage),13.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2015,Population aged 60+ years old (percentage),32.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2015,Population density,351.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Population mid-year estimates (millions),126.86,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Population mid-year estimates for males (millions),61.95,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Population mid-year estimates for females (millions),64.91,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Sex ratio (males per 100 females),95.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2019,Population aged 0 to 14 years old (percentage),12.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2019,Population aged 60+ years old (percentage),34.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2019,Population density,348.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Surface area (thousand km2),378,Data refer to 1 October 2007.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
392,Japan,2021,Population mid-year estimates (millions),126.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2021,Population mid-year estimates for males (millions),61.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2021,Population mid-year estimates for females (millions),64.52,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2021,Sex ratio (males per 100 females),95.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2021,Population aged 0 to 14 years old (percentage),12.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2021,Population aged 60+ years old (percentage),34.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
392,Japan,2021,Population density,345.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2010,Population mid-year estimates (millions),7.26,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2010,Population mid-year estimates for males (millions),3.70,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2010,Population mid-year estimates for females (millions),3.56,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2010,Sex ratio (males per 100 females),104.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2010,Population aged 0 to 14 years old (percentage),37.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2010,Population aged 60+ years old (percentage),5.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2010,Population density,81.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2015,Population mid-year estimates (millions),9.27,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2015,Population mid-year estimates for males (millions),4.69,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2015,Population mid-year estimates for females (millions),4.57,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2015,Sex ratio (males per 100 females),102.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2015,Population aged 0 to 14 years old (percentage),36.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2015,Population aged 60+ years old (percentage),5.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2015,Population density,104.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2015,Surface area (thousand km2),89,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
400,Jordan,2019,Population mid-year estimates (millions),10.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2019,Population mid-year estimates for males (millions),5.11,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2019,Population mid-year estimates for females (millions),4.99,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2019,Sex ratio (males per 100 females),102.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2019,Population aged 0 to 14 years old (percentage),33.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2019,Population aged 60+ years old (percentage),5.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2019,Population density,113.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2019,Surface area (thousand km2),89,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
400,Jordan,2021,Population mid-year estimates (millions),10.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2021,Population mid-year estimates for males (millions),5.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2021,Population mid-year estimates for females (millions),5.07,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2021,Sex ratio (males per 100 females),102.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2021,Population aged 0 to 14 years old (percentage),32.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2021,Population aged 60+ years old (percentage),6.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
400,Jordan,2021,Population density,115.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2010,Population mid-year estimates (millions),16.25,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2010,Population mid-year estimates for males (millions),7.86,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2010,Population mid-year estimates for females (millions),8.40,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2010,Sex ratio (males per 100 females),93.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2010,Population aged 0 to 14 years old (percentage),24.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2010,Population aged 60+ years old (percentage),9.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2010,Population density,6.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2015,Population mid-year estimates (millions),17.57,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2015,Population mid-year estimates for males (millions),8.51,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2015,Population mid-year estimates for females (millions),9.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2015,Sex ratio (males per 100 females),93.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2015,Population aged 0 to 14 years old (percentage),26.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2015,Population aged 60+ years old (percentage),10.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2015,Population density,6.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2015,Surface area (thousand km2),"2,725",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
398,Kazakhstan,2019,Population mid-year estimates (millions),18.55,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2019,Population mid-year estimates for males (millions),9.00,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2019,Population mid-year estimates for females (millions),9.55,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2019,Sex ratio (males per 100 females),94.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2019,Population aged 0 to 14 years old (percentage),28.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2019,Population aged 60+ years old (percentage),11.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2019,Population density,6.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2019,Surface area (thousand km2),"2,725",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
398,Kazakhstan,2021,Population mid-year estimates (millions),19.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2021,Population mid-year estimates for males (millions),9.22,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2021,Population mid-year estimates for females (millions),9.77,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2021,Sex ratio (males per 100 females),94.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2021,Population aged 0 to 14 years old (percentage),29.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2021,Population aged 60+ years old (percentage),12.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
398,Kazakhstan,2021,Population density,7.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2010,Population mid-year estimates (millions),42.03,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2010,Population mid-year estimates for males (millions),20.87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2010,Population mid-year estimates for females (millions),21.16,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2010,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2010,Population aged 0 to 14 years old (percentage),43.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2010,Population aged 60+ years old (percentage),3.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2010,Population density,73.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2015,Population mid-year estimates (millions),47.88,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2015,Population mid-year estimates for males (millions),23.78,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2015,Population mid-year estimates for females (millions),24.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2015,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2015,Population aged 0 to 14 years old (percentage),41.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2015,Population aged 60+ years old (percentage),3.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2015,Population density,84.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2015,Surface area (thousand km2),592,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
404,Kenya,2019,Population mid-year estimates (millions),52.57,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2019,Population mid-year estimates for males (millions),26.12,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2019,Population mid-year estimates for females (millions),26.45,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2019,Sex ratio (males per 100 females),98.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2019,Population aged 0 to 14 years old (percentage),39.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2019,Population aged 60+ years old (percentage),4.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2019,Population density,92.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2019,Surface area (thousand km2),592,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
404,Kenya,2021,Population mid-year estimates (millions),54.99,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2021,Population mid-year estimates for males (millions),27.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2021,Population mid-year estimates for females (millions),27.66,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2021,Sex ratio (males per 100 females),98.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2021,Population aged 0 to 14 years old (percentage),38.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2021,Population aged 60+ years old (percentage),4.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
404,Kenya,2021,Population density,96.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2010,Population mid-year estimates (millions),0.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2010,Population mid-year estimates for males (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2010,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2010,Sex ratio (males per 100 females),96.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2010,Population aged 0 to 14 years old (percentage),36.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2010,Population aged 60+ years old (percentage),5.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
296,Kiribati,2010,Population density,127.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
